label_id,way_type,intersection_distance
8,service,44.35101207925236
9,service,17.96799375186891
10,footway,12.865492848369247
11,service,37.60620392386189
12,service,40.79792747619168
13,footway,27.11919543474523
14,-1,-1.0
15,-1,-1.0
16,residential,33.90009597947139
17,residential,35.227555623665275
18,residential,37.21317344681236
19,residential,37.4720007529826
20,residential,36.350801935087816
21,residential,41.34447985598958
22,residential,39.02701124940238
23,residential,36.61126108100733
24,footway,32.73931118551284
25,residential,36.89727055406725
26,footway,19.064727706128615
27,footway,19.599122113671445
28,residential,52.577626236003084
29,residential,37.69450991113731
30,residential,46.6132455556823
31,-1,-1.0
32,-1,-1.0
33,-1,-1.0
34,-1,-1.0
35,-1,-1.0
36,-1,-1.0
37,residential,31.615533564830795
38,residential,27.962997993979872
39,residential,16.073161408793492
40,-1,-1.0
41,-1,-1.0
42,-1,-1.0
43,-1,-1.0
44,-1,-1.0
45,-1,-1.0
46,-1,-1.0
47,-1,-1.0
48,-1,-1.0
49,-1,-1.0
50,-1,-1.0
51,-1,-1.0
52,-1,-1.0
53,-1,-1.0
54,-1,-1.0
55,-1,-1.0
56,-1,-1.0
57,-1,-1.0
58,footway,182.80656914258415
59,service,205.27688305192234
60,service,20.888666382749967
61,service,39.333329560496615
62,-1,-1.0
63,-1,-1.0
71,residential,39.71878157972696
72,residential,38.99470273467892
74,residential,33.092184527495945
75,residential,35.482547880282524
76,footway,64.24781615403155
77,-1,-1.0
78,-1,-1.0
79,-1,-1.0
80,-1,-1.0
81,-1,-1.0
82,-1,-1.0
83,-1,-1.0
84,-1,-1.0
85,-1,-1.0
86,-1,-1.0
87,-1,-1.0
88,footway,10.428133837500033
89,footway,9.060031163293377
90,footway,4.279691245342084
91,footway,6.242412087346947
92,footway,3.6450614368600234
93,footway,4.43824906823048
94,footway,11.165707786891234
95,footway,11.095963002293185
96,footway,4.8691700303040815
97,footway,2.2414034406149304
98,-1,-1.0
99,-1,-1.0
100,-1,-1.0
101,footway,3.2079230099806644
102,footway,10.677722637164349
103,footway,1.3008232308776901
104,footway,5.73250273265368
105,footway,6.167673530454687
106,footway,10.329759511584438
107,-1,-1.0
108,footway,2.2684995364627665
109,-1,-1.0
110,-1,-1.0
111,-1,-1.0
112,footway,8.25855151437284
113,-1,-1.0
114,footway,2.573667692873279
