label_id,cluster_id,clustered,cluster_label_count
18321,1,0,1
18214,2,0,1
18318,3,0,1
18337,4,0,1
18338,5,0,1
18270,6,0,1
18230,7,0,1
18296,8,0,1
18322,9,0,1
18259,10,0,1
18295,11,0,1
18212,12,0,1
18279,13,0,1
18261,14,0,1
18260,15,0,1
18262,16,0,1
13237,17,1,2
16593,17,1,2
745,19,1,3
7237,19,1,3
12900,19,1,3
4889,22,1,2
11190,22,1,2
3637,24,0,1
13108,25,1,3
6941,25,1,3
16595,25,1,3
1608,28,0,1
14727,29,0,1
17078,30,0,1
8905,31,1,2
12849,31,1,2
18242,33,1,2
12824,33,1,2
9726,35,1,3
12525,35,1,3
14401,35,1,3
7070,38,0,1
53,39,1,2
9862,39,1,2
9196,41,1,3
16260,41,1,3
17256,41,1,3
6957,44,1,3
10541,44,1,3
12874,44,1,3
12605,47,0,1
12819,48,0,1
18276,49,0,1
14002,50,1,3
14049,50,1,3
15808,50,1,3
11340,53,1,2
11681,53,1,2
8923,55,1,2
9830,55,1,2
8033,57,0,1
12806,58,0,1
10823,59,1,2
15795,59,1,2
12541,61,1,2
14396,61,1,2
17629,63,0,1
8902,64,0,1
18310,65,1,2
17257,65,1,2
17273,67,0,1
18311,68,0,1
17272,69,0,1
9727,70,1,3
12527,70,1,3
14402,70,1,3
7071,73,0,1
9719,74,1,2
10932,74,1,2
15774,76,0,1
8971,77,1,2
14504,77,1,2
17266,79,0,1
15776,80,1,2
15814,80,1,2
8890,82,1,3
12545,82,1,3
14397,82,1,3
17267,85,0,1
6991,86,1,3
9740,86,1,3
15572,86,1,3
8889,89,1,2
12543,89,1,2
17268,91,0,1
9584,92,1,2
14456,92,1,2
7222,94,1,3
9931,94,1,3
10603,94,1,3
2271,97,0,1
2268,98,1,2
13359,98,1,2
9585,100,1,2
14455,100,1,2
10827,102,1,3
7165,102,1,3
10601,102,1,3
6306,105,1,4
12629,105,1,4
14407,105,1,4
10597,105,1,4
7660,109,0,1
9185,110,1,2
16254,110,1,2
6307,112,1,3
14411,112,1,3
10599,112,1,3
2269,115,1,2
13694,115,1,2
9615,117,1,3
9948,117,1,3
14461,117,1,3
7216,120,1,2
10605,120,1,2
7161,122,1,3
9928,122,1,3
10604,122,1,3
6970,125,1,3
7494,125,1,3
9604,125,1,3
2257,128,1,2
14354,128,1,2
9617,130,1,3
9949,130,1,3
14460,130,1,3
7223,133,1,2
10602,133,1,2
6304,135,1,3
14410,135,1,3
10600,135,1,3
9182,138,1,3
12548,138,1,3
16251,138,1,3
6305,141,1,3
14408,141,1,3
10598,141,1,3
7663,144,0,1
9189,145,1,4
12549,145,1,4
14405,145,1,4
16250,145,1,4
6308,149,1,2
10596,149,1,2
1049,151,1,2
9806,151,1,2
10186,153,0,1
6309,154,1,3
14412,154,1,3
10595,154,1,3
7648,157,0,1
9695,158,1,3
10185,158,1,3
11499,158,1,3
1056,161,0,1
6311,162,1,3
14413,162,1,3
10593,162,1,3
7655,165,0,1
7654,166,1,2
12623,166,1,2
14414,168,1,3
6310,168,1,3
10592,168,1,3
9692,171,1,2
10188,171,1,2
17922,173,1,2
1028,173,1,2
6961,175,1,2
9676,175,1,2
10591,177,0,1
1066,178,0,1
9732,179,0,1
6032,180,1,2
13419,180,1,2
9191,182,1,4
12550,182,1,4
14404,182,1,4
16249,182,1,4
10590,186,0,1
833,187,1,2
9983,187,1,2
5037,189,0,1
8393,190,0,1
4326,191,1,2
17207,191,1,2
5163,193,0,1
12557,194,0,1
5164,195,1,3
4329,195,1,3
17206,195,1,3
4882,198,1,2
11353,198,1,2
7338,200,1,3
15402,200,1,3
3335,200,1,3
17136,203,0,1
5105,204,0,1
11227,205,0,1
3340,206,1,3
7341,206,1,3
15404,206,1,3
17135,209,0,1
1912,210,1,2
17126,210,1,2
11884,212,0,1
2915,213,1,2
17668,213,1,2
9012,215,0,1
12142,216,0,1
5107,217,1,2
11234,217,1,2
3342,219,1,2
7335,219,1,2
17001,221,0,1
9399,222,1,2
12556,222,1,2
4746,224,0,1
502,225,0,1
16929,226,0,1
4744,227,0,1
9400,228,0,1
515,229,0,1
16927,230,0,1
1539,231,1,2
16903,231,1,2
149,233,1,2
8933,233,1,2
14792,235,0,1
9347,236,0,1
9168,237,1,4
9642,237,1,4
9959,237,1,4
16242,237,1,4
5985,241,0,1
4060,242,0,1
13788,243,0,1
3203,244,0,1
13224,245,0,1
8197,246,1,2
12045,246,1,2
5139,248,1,2
15540,248,1,2
3902,250,0,1
4762,251,0,1
12551,252,0,1
5101,253,1,3
3633,253,1,3
11226,253,1,3
8220,256,0,1
11990,257,0,1
8225,258,1,2
11980,258,1,2
5095,260,1,2
11197,260,1,2
3643,262,0,1
17709,263,0,1
11761,264,0,1
13049,265,0,1
4863,266,1,2
9345,266,1,2
11972,268,0,1
8249,269,0,1
7568,270,1,2
15497,270,1,2
5132,272,0,1
15407,273,1,2
3881,273,1,2
1280,275,1,2
16893,275,1,2
11988,277,0,1
8258,278,0,1
7567,279,1,2
15496,279,1,2
5134,281,0,1
2165,282,1,2
12063,282,1,2
8266,284,0,1
1846,285,1,2
16995,285,1,2
4901,287,1,2
11359,287,1,2
2166,289,1,2
12064,289,1,2
8205,291,0,1
1764,292,1,2
17093,292,1,2
4878,294,0,1
8339,295,0,1
2930,296,0,1
17660,297,0,1
12046,298,1,2
8199,298,1,2
7344,300,1,2
15537,300,1,2
4758,302,1,3
3899,302,1,3
14519,302,1,3
6968,305,1,3
7490,305,1,3
9600,305,1,3
10548,308,1,2
10818,308,1,2
7236,310,0,1
2260,311,1,2
14314,311,1,2
7761,313,1,4
9926,313,1,4
10610,313,1,4
7183,313,1,4
7508,317,1,3
10617,317,1,3
7155,317,1,3
5907,320,1,2
13341,320,1,2
11337,322,1,2
5094,322,1,2
8234,324,1,2
11929,324,1,2
531,326,0,1
13876,327,0,1
15060,328,1,2
3418,328,1,2
17693,330,0,1
12998,331,0,1
8311,332,1,3
12999,332,1,3
18060,332,1,3
6582,335,1,2
15070,335,1,2
3413,337,0,1
2481,338,1,3
2641,338,1,3
17290,338,1,3
12804,341,1,2
17828,341,1,2
245,343,0,1
3130,344,1,3
9574,344,1,3
10059,344,1,3
10355,347,0,1
15674,348,0,1
17946,349,0,1
6382,350,0,1
8817,351,1,3
11151,351,1,3
15594,351,1,3
17626,354,1,3
9819,354,1,3
18101,354,1,3
3597,357,0,1
17352,358,1,2
7400,358,1,2
17431,360,1,2
13192,360,1,2
2567,362,0,1
2476,363,1,2
12426,363,1,2
2380,365,0,1
13920,366,1,2
2314,366,1,2
1090,368,1,3
9643,368,1,3
10301,368,1,3
11715,371,0,1
9360,372,1,2
13611,372,1,2
4925,374,1,2
11269,374,1,2
16789,376,1,2
2087,376,1,2
17159,378,1,2
2073,378,1,2
4898,380,1,2
11352,380,1,2
3891,382,0,1
16918,383,0,1
1274,384,0,1
209,385,0,1
2170,386,1,3
8178,386,1,3
11949,386,1,3
7584,389,1,2
15489,389,1,2
16924,391,1,2
1230,391,1,2
504,393,0,1
9363,394,0,1
5709,395,1,2
9474,395,1,2
7044,397,1,3
10315,397,1,3
1174,397,1,3
5708,400,1,3
10063,400,1,3
10638,400,1,3
7041,403,1,3
10314,403,1,3
1173,403,1,3
3796,406,1,2
13906,406,1,2
9639,408,0,1
10517,409,0,1
1078,410,0,1
17859,411,1,2
10161,411,1,2
9810,413,0,1
1046,414,0,1
3786,415,0,1
779,416,1,2
13835,416,1,2
5044,418,1,2
9985,418,1,2
17925,420,1,4
10308,420,1,4
10570,420,1,4
1043,420,1,4
8508,424,1,2
9671,424,1,2
17924,426,1,4
10307,426,1,4
10569,426,1,4
1038,426,1,4
3785,430,0,1
9031,431,0,1
12285,432,0,1
806,433,0,1
17910,434,1,3
7054,434,1,3
8528,434,1,3
1011,437,0,1
10337,438,0,1
10741,439,1,3
6175,439,1,3
7706,439,1,3
10158,442,1,2
972,442,1,2
10159,444,1,2
969,444,1,2
2337,446,1,3
9634,446,1,3
14359,446,1,3
11714,449,0,1
8639,450,0,1
945,451,0,1
12316,452,0,1
805,453,0,1
210,454,1,3
7034,454,1,3
7817,454,1,3
10209,457,1,2
918,457,1,2
8625,459,0,1
6176,460,1,4
7707,460,1,4
10503,460,1,4
11245,460,1,4
12320,464,0,1
916,465,0,1
12368,466,1,2
913,466,1,2
3775,468,0,1
9475,469,0,1
13612,470,1,2
570,470,1,2
5135,472,1,2
7339,472,1,2
4786,474,1,3
9255,474,1,3
15298,474,1,3
11919,477,1,2
18094,477,1,2
7404,479,1,2
17345,479,1,2
4938,481,0,1
5561,482,0,1
5272,483,0,1
17462,484,1,2
12782,484,1,2
884,486,0,1
891,487,1,2
12827,487,1,2
3093,489,1,3
10157,489,1,3
18000,489,1,3
908,492,0,1
12791,493,0,1
3094,494,1,3
10156,494,1,3
17997,494,1,3
7852,497,1,2
9226,497,1,2
5950,499,1,2
14340,499,1,2
8626,501,1,2
10538,501,1,2
9187,503,0,1
17923,504,1,2
11420,504,1,2
