label_id,way_type,distance_to_road
145,tertiary,21.228372477823505
146,tertiary,16.51017151409072
143,tertiary,20.48361952279228
18190,tertiary,18.054313116555395
18191,tertiary,11.38704518651175
18185,tertiary,20.13556121282535
18183,tertiary,15.640038133808774
4726,tertiary,8.896031477291471
8931,tertiary,21.908573073613468
8934,tertiary,14.737156475999427
12531,tertiary,38.97946330725617
18134,tertiary,36.87400285835147
3061,tertiary,32.717040237684834
9165,tertiary,26.99240467310762
9166,tertiary,25.826574294518636
9172,tertiary,25.69582515219774
3062,tertiary,36.82016125202518
151,secondary,34.95500546103797
153,secondary,34.21111108355768
18192,secondary,22.7140616576409
144,secondary,33.87032432227874
152,secondary,30.13331187427665
154,secondary,31.433332500331474
9084,secondary,32.67553826404789
9081,secondary,31.235675260548174
9083,secondary,28.519403716281037
12219,secondary,18.828753762579794
155,secondary,10.306585383672951
156,secondary,21.43400971708979
157,secondary,22.84512614638269
158,secondary,20.102920982414933
159,secondary,21.525461048271012
160,secondary,14.603069618831578
161,secondary,17.415025832078975
163,secondary,20.21538477192084
5580,residential,31.329503660447006
13121,residential,30.74425898719749
5581,residential,18.532539059404236
5583,residential,14.14839801142211
6915,residential,14.963603990602808
6917,residential,18.771087469878886
16599,residential,25.416132756710574
16600,residential,18.602705920992438
16601,residential,24.362160711022117
16602,residential,20.35825193998811
16603,residential,13.603124592554595
6916,residential,17.562717616072362
5582,residential,18.64480380903144
18142,residential,18.460327520883304
18141,residential,15.678764395711292
18144,residential,16.540629521191196
2675,residential,9.454626312745715
9197,residential,16.24692925048073
422,residential,20.419273835478066
423,residential,13.480937785320986
425,residential,3.722109380646413
426,residential,14.358050715461722
465,residential,18.4836818003333
466,residential,15.089643708296416
468,residential,18.104536002287045
469,residential,16.729303795228414
470,residential,19.720710588482497
481,residential,12.891090707081885
482,residential,6.053659623109301
484,residential,1.873550988589925
491,residential,55.16402396363656
477,residential,27.47264333084027
471,residential,22.057127981068977
480,residential,13.766838304727886
479,residential,15.118761878888758
2676,residential,15.110990830546022
2677,residential,13.766838304727886
5584,primary,33.260291824601055
13122,primary,37.36373469888036
13123,primary,23.660075691703266
13124,primary,25.897934776113324
