street_edge_id,osm_way_id,way_type
1,32916201,primary
2,169387506,primary
3,169387506,primary
4,169387506,primary
5,169387506,primary
6,169387506,primary
7,475379411,tertiary
8,475379411,tertiary
9,475379411,tertiary
10,475379411,tertiary
11,475379412,tertiary
12,475379412,tertiary
13,475379412,tertiary
14,475379412,tertiary
15,5393580,residential
16,5393602,residential
17,5393609,residential
18,5393749,residential
19,5393965,primary
20,5395619,residential
21,5400945,residential
22,5400983,residential
23,5400983,residential
24,5400983,residential
25,5400983,residential
26,5400983,residential
27,5400983,residential
28,5400989,residential
29,5400989,residential
30,5400992,tertiary
31,5401024,residential
32,5401037,residential
33,5401039,residential
34,5401118,residential
35,5401118,residential
36,5401169,residential
37,5401339,residential
38,5401339,residential
39,5401339,residential
40,5401339,residential
41,5401339,residential
42,5401341,residential
43,5401341,residential
44,5401354,residential
45,5401354,residential
46,5401354,residential
47,5401356,residential
48,5401356,residential
49,5401356,residential
50,5401356,residential
51,5401356,residential
52,5401356,residential
53,5401358,residential
54,5401445,residential
55,5401449,residential
56,5401449,residential
57,5401449,residential
58,5401450,residential
59,5401460,residential
60,5401543,residential
61,5401566,residential
62,5401568,residential
63,5401569,residential
64,5401569,residential
65,5401569,residential
66,5401573,tertiary
67,5401573,tertiary
68,5401642,tertiary
69,5401642,tertiary
70,5401652,residential
71,5401714,residential
72,5401714,residential
73,5401714,residential
74,5401717,tertiary
75,5401717,tertiary
76,5401717,tertiary
77,5401717,tertiary
78,5401717,tertiary
79,5401717,tertiary
80,5401717,tertiary
81,5401734,residential
82,5401734,residential
83,5401784,residential
84,5401832,residential
85,5401838,residential
86,5401852,residential
87,5401865,residential
88,5401867,residential
89,5401867,residential
90,5401867,residential
91,5401876,residential
92,5401876,residential
93,5401876,residential
94,5401876,residential
95,5401876,residential
96,5401876,residential
97,5401878,tertiary
98,5401889,residential
99,5401889,residential
100,5401919,residential
101,5401925,residential
102,5401925,residential
103,5401936,residential
104,5401936,residential
105,5402010,residential
106,5402010,residential
107,5402010,residential
108,5402010,residential
109,5402010,residential
110,5402010,residential
111,5402010,residential
112,5402010,residential
113,5402010,residential
114,5402181,residential
115,5402183,tertiary
116,5402183,tertiary
117,5402198,residential
118,5402242,residential
119,5402242,residential
120,5402242,residential
121,5402242,residential
122,5402242,residential
123,5402242,residential
124,5402242,residential
125,5402285,residential
126,5402285,residential
127,5402285,residential
128,5402332,tertiary
129,5402390,residential
130,5402400,residential
131,5402400,residential
132,5402400,residential
133,5402529,primary
134,5402529,primary
177,5403037,residential
135,5402529,primary
136,5402529,primary
137,5402533,residential
138,5402541,residential
139,5402541,residential
140,5402541,residential
141,5402617,residential
142,5402622,residential
143,5402622,residential
144,5402624,residential
145,5402624,residential
146,5402624,residential
147,5402625,residential
148,5402625,residential
149,5402625,residential
150,5402627,residential
151,5402691,residential
152,5402691,residential
153,5402691,residential
154,5402707,residential
155,5402712,primary
156,5402712,primary
157,5402715,residential
158,5402765,residential
159,5402822,residential
160,5402822,residential
161,5402837,residential
162,5402837,residential
163,5402856,residential
164,5402866,residential
165,5402892,tertiary
166,5402892,tertiary
167,5402892,tertiary
168,5402892,tertiary
169,5402930,residential
170,5402993,residential
171,5402997,residential
172,5402997,residential
173,5402997,residential
174,5403034,residential
175,5403037,residential
176,5403037,residential
178,5403061,residential
179,5403061,residential
180,5403061,residential
181,5403061,residential
182,5403061,residential
183,5403061,residential
184,5403061,residential
185,5403066,residential
186,5403095,residential
187,5403099,residential
188,5403172,residential
189,5403177,residential
190,5403177,residential
191,5403184,residential
192,5403184,residential
193,5403187,residential
194,5403187,residential
195,5403187,residential
196,5403187,residential
197,5403190,residential
198,5403190,residential
199,5403236,residential
200,5403239,residential
201,5403239,residential
202,5403239,residential
203,5403239,residential
204,5403276,residential
205,5403280,residential
206,5403280,residential
207,5403280,residential
208,5403280,residential
209,5403338,residential
210,5403462,residential
211,5403479,residential
212,5403479,residential
213,5403479,residential
214,5403479,residential
215,5403528,residential
216,5403559,residential
217,5403559,residential
218,5403569,tertiary
219,5403569,tertiary
220,5403569,tertiary
221,5403569,tertiary
222,5403571,tertiary
269,5404070,residential
223,5403571,tertiary
224,5403571,tertiary
225,5403694,residential
226,5403694,residential
227,5403698,primary
228,5403698,primary
229,5403698,primary
230,5403698,primary
231,5403733,residential
232,5403734,residential
233,5403753,residential
234,5403872,tertiary
235,5403872,tertiary
236,5403872,tertiary
237,5403873,residential
238,5403886,residential
239,5403886,residential
240,5403886,residential
241,5403889,residential
242,5403914,residential
243,5403930,tertiary
244,5403930,tertiary
245,5403930,tertiary
246,5403930,tertiary
247,5403948,residential
248,5403959,residential
249,5403959,residential
250,5403961,residential
251,5403961,residential
252,5403961,residential
253,5403961,residential
254,5403961,residential
255,5403961,residential
256,5404031,residential
257,5404031,residential
258,5404032,residential
259,5404032,residential
260,5404035,residential
261,5404036,residential
262,5404036,residential
263,5404041,residential
264,5404057,residential
265,5404057,residential
266,5404057,residential
267,5404061,residential
268,5404066,residential
270,5404072,residential
271,5404082,residential
272,5404099,residential
273,5404128,residential
274,5404128,residential
275,5404129,residential
276,5404131,residential
277,5404131,residential
278,5404131,residential
279,5404131,residential
280,5404132,tertiary
281,5404132,tertiary
282,5404132,tertiary
283,5404132,tertiary
284,5404133,residential
285,5404134,residential
286,5404137,residential
287,5404137,residential
288,5404198,tertiary
289,5404203,residential
290,5404215,residential
291,5404215,residential
292,5404217,tertiary
293,5404217,tertiary
294,5404217,tertiary
295,5404217,tertiary
296,5404237,tertiary
297,5404241,residential
298,5404243,residential
299,5404243,residential
300,5404278,residential
301,5404278,residential
302,5404278,residential
303,5404278,residential
304,5404283,residential
305,5404283,residential
306,5404283,residential
307,5404292,residential
308,5404293,residential
309,5404298,residential
310,5404298,residential
311,5404299,residential
312,5404302,residential
313,5404313,residential
314,5404315,residential
315,5404317,residential
316,5404321,residential
317,5404336,residential
318,5404336,residential
319,5404336,residential
320,5404342,residential
321,5404342,residential
322,5404344,residential
323,5404345,residential
324,5404345,residential
325,5404423,residential
326,5404423,residential
327,5404423,residential
328,5404430,residential
329,5404445,residential
330,5404445,residential
331,5404445,residential
332,5404445,residential
333,5404458,residential
334,5404458,residential
335,5404458,residential
336,5404458,residential
337,5404462,residential
338,5404477,residential
339,5404480,residential
340,5404483,tertiary
341,5404483,tertiary
342,5404483,tertiary
343,5404489,residential
344,5404498,residential
345,5404499,residential
346,5404499,residential
347,5404513,residential
348,5404513,residential
349,5404513,residential
350,5404513,residential
351,5404513,residential
352,5404524,secondary
353,5404524,secondary
354,5404526,residential
355,5404545,residential
356,5404545,residential
357,5404545,residential
358,5404545,residential
359,5404545,residential
360,5404547,residential
361,5404554,residential
362,5404555,residential
363,5404563,residential
364,5404563,residential
365,5404564,residential
366,5404565,residential
367,5404565,residential
368,5404572,residential
369,5404623,residential
370,5404625,residential
371,5404625,residential
372,5404625,residential
373,5404625,residential
374,5404625,residential
375,5404625,residential
376,5404625,residential
377,5404626,residential
