label_id,cluster_id,clustered,cluster_label_count
4527,1,1,2
8115,1,1,2
3537,3,1,2
13094,3,1,2
3555,5,0,1
12304,6,0,1
13091,7,0,1
7539,8,0,1
3541,9,1,2
13088,9,1,2
4518,11,0,1
7548,12,0,1
3549,13,1,2
13084,13,1,2
4519,15,0,1
7542,16,0,1
3551,17,1,2
13080,17,1,2
6915,19,0,1
12905,20,0,1
7795,21,0,1
2966,22,1,2
2844,22,1,2
3550,24,0,1
13078,25,0,1
7790,26,0,1
2312,27,1,2
13068,27,1,2
2859,29,1,2
2940,29,1,2
7849,31,0,1
2317,32,1,2
13065,32,1,2
9448,34,0,1
7545,35,0,1
7138,36,1,3
12413,36,1,3
13003,36,1,3
11617,39,0,1
5119,40,1,3
12410,40,1,3
13002,40,1,3
8233,43,0,1
11627,44,0,1
7132,45,0,1
12999,46,0,1
11621,47,0,1
7140,48,1,3
12409,48,1,3
12996,48,1,3
11630,51,0,1
4434,52,1,2
7327,52,1,2
3212,54,0,1
12855,55,0,1
939,56,1,2
8323,56,1,2
12763,58,0,1
2077,59,1,2
12502,59,1,2
333,61,0,1
12718,62,0,1
10359,63,0,1
11477,64,0,1
4800,65,0,1
12715,66,0,1
613,67,1,2
12693,67,1,2
5774,69,0,1
12600,70,0,1
10328,71,0,1
11349,72,0,1
7453,73,1,2
12572,73,1,2
10940,75,0,1
7481,76,0,1
12570,77,0,1
11636,78,0,1
623,79,1,2
12542,79,1,2
7428,81,1,2
12238,81,1,2
7412,83,1,2
12011,83,1,2
10415,85,1,2
11998,85,1,2
4645,87,0,1
10416,88,1,2
11995,88,1,2
1483,90,0,1
3865,91,0,1
11992,92,0,1
10412,93,1,2
11989,93,1,2
3797,95,0,1
9522,96,0,1
11878,97,0,1
7084,98,0,1
1716,99,1,2
11877,99,1,2
3747,101,0,1
7044,102,0,1
1714,103,1,2
11876,103,1,2
1692,105,1,2
6962,105,1,2
10260,107,0,1
4478,108,0,1
10049,109,1,2
11875,109,1,2
1697,111,0,1
9524,112,0,1
7074,113,0,1
7843,114,0,1
11721,115,0,1
7693,116,0,1
11719,117,0,1
7475,118,0,1
11705,119,0,1
7798,120,0,1
11704,121,0,1
7698,122,0,1
11663,123,0,1
7851,124,0,1
11669,125,0,1
7788,126,0,1
11657,127,0,1
7704,128,0,1
11656,129,0,1
7433,130,0,1
11666,131,0,1
7786,132,0,1
11660,133,0,1
7848,134,0,1
11646,135,0,1
8250,136,0,1
11633,137,0,1
7602,138,0,1
11625,139,0,1
1863,140,0,1
11563,141,0,1
5112,142,0,1
9531,143,0,1
3793,144,0,1
2591,145,1,2
11531,145,1,2
7673,147,0,1
7707,148,0,1
11523,149,0,1
7687,150,0,1
11520,151,0,1
7922,152,0,1
