label_id,street_edge_id
5447,69
5648,93
5467,103
5111,384
5430,103
5473,228
5477,499
5120,411
5685,69
5483,499
5461,103
5581,328
5535,232
12528,379
5517,232
5591,328
5139,349
5659,93
5457,150
5451,69
5425,103
5486,397
5435,499
5438,93
5557,328
12470,329
5657,93
12454,329
12460,329
5427,103
5608,328
5731,69
12527,379
5459,265
5458,264
12475,232
12477,232
12480,232
12482,232
5158,291
12530,379
5162,390
12532,379
12535,379
5682,93
5424,227
5470,117
5463,103
12538,50
5665,93
5440,93
5439,93
5573,328
5642,93
1269,133
5478,499
5444,69
5593,328
5663,93
5671,93
5575,328
5487,397
5432,103
5472,228
5426,103
5640,328
12457,329
5474,397
5668,93
5546,241
12539,50
5464,103
5738,69
5153,389
5735,69
5518,232
5612,328
5661,93
5543,241
5550,241
5644,93
5462,103
12458,329
12467,329
12473,24
2804,204
12541,315
12540,315
12543,379
12544,499
12547,499
12551,499
5686,69
12536,50
5154,389
5680,94
5488,396
5441,93
5489,396
2057,68
5600,328
5530,232
1960,115
5446,69
5576,328
5491,263
5118,386
5445,69
12542,50
4966,279
5598,328
5521,232
5428,103
5580,328
5479,499
5481,499
5678,222
3638,410
12549,499
5465,103
5696,69
5536,232
12555,499
5448,69
1837,403
5197,236
5578,328
3238,205
5519,232
5468,103
12537,50
12545,499
12548,499
12552,499
12553,499
12556,499
5476,401
12558,499
2784,99
5522,232
5072,261
5186,345
5175,17
5007,240
5480,499
5147,350
5172,443
5433,103
5436,499
4961,279
5431,103
5434,103
5528,232
5061,400
5475,228
5114,443
5471,117
5631,328
5723,69
5719,69
5442,93
10959,238
5524,232
5429,103
5526,232
4599,391
5637,328
5520,232
5695,69
5078,262
5155,389
5534,232
5653,93
5490,263
3468,134
3141,20
5135,349
4937,383
4985,346
5192,121
5714,69
5559,328
5145,350
4967,279
5466,103
5039,402
12554,499
4995,348
4988,348
5736,69
5009,386
5052,251
1990,394
5595,328
5077,389
5025,103
5454,368
5694,69
4938,153
5191,124
5482,499
5437,499
5683,69
5549,241
5003,227
5054,251
3452,268
