street_edge_id,osm_way_id,way_type
1,11562297,residential
2,11562297,residential
3,11564127,residential
4,11564299,residential
5,11564531,residential
6,11564531,residential
7,11564801,residential
8,11564836,residential
9,11564836,residential
10,11565011,residential
11,11565017,residential
12,11565219,residential
13,11565219,residential
14,11565220,residential
15,11565400,residential
16,11565401,residential
17,11565677,residential
18,11565702,residential
19,11566014,residential
20,11566257,residential
21,11566257,residential
22,11566257,residential
23,11566424,residential
24,11566424,residential
25,11566553,residential
26,11566553,residential
27,11566560,residential
28,11566560,residential
29,11566560,residential
30,11566560,residential
31,11566560,residential
32,11566597,residential
33,11566597,residential
34,11566817,residential
35,11566844,residential
36,11566844,residential
37,11566869,residential
38,11566869,residential
39,11566909,residential
40,11566921,residential
41,11567524,residential
42,11567524,residential
43,11567524,residential
44,11567997,residential
45,11568170,residential
46,11568170,residential
47,11568170,residential
48,11569259,residential
49,11569259,residential
50,11569259,residential
51,11569477,residential
52,11569523,residential
53,11569559,residential
54,11569682,residential
55,11569682,residential
56,11569682,residential
57,11569682,residential
58,11569682,residential
59,11569682,residential
60,11569682,residential
61,11569928,residential
62,11569928,residential
63,11569928,residential
64,11570114,residential
65,11570114,residential
66,11570114,residential
67,11570162,residential
68,11570162,residential
69,11570206,residential
70,11570206,residential
71,11570206,residential
72,11570231,residential
73,11570356,residential
74,11570362,residential
75,11571156,tertiary
76,11571204,residential
77,11571301,residential
78,11571452,residential
79,11571502,residential
80,11571569,residential
81,11571687,residential
82,11571687,residential
83,11571687,residential
84,11571687,residential
85,11571687,residential
86,11571687,residential
87,11571687,residential
88,11571687,residential
89,11571794,residential
90,11571794,residential
91,11572430,tertiary
92,11572540,residential
93,11572540,residential
94,11572540,residential
95,11573489,residential
96,11574066,residential
97,11574182,residential
98,11574182,residential
99,11574182,residential
100,11574526,residential
101,11574526,residential
102,11574930,residential
103,11574980,residential
104,11574980,residential
105,11574980,residential
106,11574980,residential
107,11574980,residential
108,11575078,residential
109,11575146,residential
110,11575146,residential
111,11575147,residential
112,11575147,residential
113,11575147,residential
152,11578352,residential
114,11575149,residential
115,11575198,residential
116,11575467,residential
117,11575553,residential
118,11576213,residential
119,11576213,residential
120,11576248,residential
121,11576347,residential
122,11576347,residential
123,11576347,residential
124,11576347,residential
125,11576377,residential
126,11576377,residential
127,11576473,residential
128,11577293,residential
129,11577293,residential
130,11577311,residential
131,11577311,residential
132,11577311,residential
133,11577311,residential
134,11577311,residential
135,11577473,residential
136,11577473,residential
137,11577473,residential
138,11577473,residential
139,11577473,residential
140,11577473,residential
141,11577474,residential
142,11577499,residential
143,11577771,residential
144,11577771,residential
145,11577771,residential
146,11577771,residential
147,11577771,residential
148,11577877,residential
149,11578301,residential
150,11578350,residential
151,11578350,residential
153,11578352,residential
154,11578352,residential
155,11578352,residential
156,11578352,residential
157,11578352,residential
158,11578352,residential
159,11578352,residential
160,11578352,residential
161,11578670,residential
162,11578670,residential
163,11578684,residential
164,11579039,residential
165,11579039,residential
166,11579039,residential
167,11579039,residential
168,11579039,residential
169,11579039,residential
170,11579039,residential
171,11579039,residential
172,11579039,residential
173,11579295,residential
174,11579295,residential
175,11579365,residential
176,11579501,residential
177,11579504,residential
178,11579519,residential
179,11579846,residential
180,11580113,residential
181,11580113,residential
182,11580119,residential
183,11580119,residential
184,11580119,residential
185,11580156,residential
186,11580212,residential
187,11580271,residential
188,11580287,tertiary
189,11580287,tertiary
190,11580287,tertiary
191,11580287,tertiary
192,11580287,tertiary
193,11580287,tertiary
194,11580287,tertiary
195,11580287,tertiary
196,11580287,tertiary
197,11580287,tertiary
198,11580292,residential
199,11580292,residential
200,11580292,residential
201,11580439,residential
202,11580539,residential
203,11580539,residential
204,11580702,residential
205,11580702,residential
206,11580702,residential
207,11580702,residential
208,11580810,residential
209,11580879,residential
210,11580879,residential
211,11580879,residential
212,11580879,residential
213,11580879,residential
214,11580922,residential
215,11580922,residential
216,11580922,residential
217,11580922,residential
218,11581012,residential
219,11581012,residential
220,11581012,residential
221,11581222,residential
222,11581697,residential
223,11581697,residential
224,11581697,residential
225,11581697,residential
226,11581790,residential
227,11581904,residential
228,11581908,residential
229,11581960,residential
230,11582145,residential
231,11582294,residential
232,11582370,residential
233,11582415,tertiary
234,11582415,tertiary
235,11582415,tertiary
236,11582461,residential
237,11582793,residential
238,11582883,residential
239,11583096,residential
240,11583096,residential
241,11583298,residential
242,11583298,residential
243,11583407,residential
244,11583407,residential
245,11583434,residential
246,11583434,residential
247,11583434,residential
248,11583434,residential
249,11583602,residential
250,11583659,residential
251,11583659,residential
252,11583775,residential
253,11583924,residential
254,11583924,residential
255,11583962,residential
256,11583962,residential
257,11583962,residential
258,11583962,residential
259,11583986,residential
260,11584103,residential
261,11584103,residential
262,11584428,residential
263,11584442,residential
264,11585328,residential
265,11585328,residential
266,11585486,residential
267,11585486,residential
268,11585486,residential
269,11585486,residential
270,11585486,residential
271,11585486,residential
272,11585486,residential
273,11585486,residential
274,11585486,residential
275,11585486,residential
276,11585486,residential
277,11585600,residential
278,11585632,residential
279,11585632,residential
280,11585642,residential
281,11585762,residential
282,11585828,residential
283,11585828,residential
284,11585865,residential
285,11585882,residential
286,11585927,residential
287,11585933,residential
288,11585933,residential
289,11585933,residential
290,11585949,residential
291,11585971,residential
292,11585982,residential
293,11585982,residential
294,11585982,residential
295,11586067,residential
296,11586306,residential
297,11586434,residential
298,11586434,residential
299,11586434,residential
300,11586527,residential
301,11586654,residential
302,11586654,residential
303,11586683,residential
304,11586713,residential
305,11586713,residential
306,11586896,residential
307,11587053,residential
308,11587053,residential
309,11587173,residential
310,11587192,residential
311,11587192,residential
312,11587208,tertiary
313,11587208,tertiary
314,11587208,tertiary
315,11587208,tertiary
316,11587208,tertiary
317,11587208,tertiary
318,11587350,residential
319,11587350,residential
320,11587441,residential
321,11587624,residential
322,11587642,residential
323,11587659,residential
324,11587659,residential
325,11587659,residential
326,11587659,residential
327,11587659,residential
328,11587843,residential
329,11587843,residential
330,11587860,residential
331,11587860,residential
332,11587860,residential
333,11587860,residential
334,11587860,residential
335,11587861,residential
336,11587861,residential
337,11587958,residential
338,11587958,residential
339,11587980,residential
340,11587980,residential
341,11587980,residential
342,11587980,residential
343,11587980,residential
344,11587994,residential
345,11587994,residential
346,11587994,residential
347,11587994,residential
348,11587994,residential
349,11588107,residential
350,11588107,residential
351,11588107,residential
352,11588107,residential
353,11588107,residential
354,11588257,residential
355,11588257,residential
356,11588257,residential
357,11588257,residential
358,11588730,residential
359,11588730,residential
360,11588730,residential
361,11588730,residential
362,11588955,residential
363,11588956,residential
364,11589098,residential
365,11589218,residential
366,11589283,secondary
367,61282873,residential
368,61300684,tertiary
369,61300684,tertiary
370,61300684,tertiary
371,61300684,tertiary
372,61300684,tertiary
373,61300684,tertiary
374,61300744,primary
375,61300744,primary
376,61300744,primary
377,61300744,primary
378,61300744,primary
379,61300744,primary
380,61300744,primary
381,61300744,primary
382,61300744,primary
383,61313120,primary
384,61313120,primary
385,61313120,primary
386,61313120,primary
387,61313120,primary
388,61313120,primary
389,61313120,primary
390,61313120,primary
391,61313120,primary
392,61313120,primary
393,61313136,tertiary
394,61313136,tertiary
395,61313136,tertiary
396,61313136,tertiary
397,61313136,tertiary
398,61313136,tertiary
399,61313136,tertiary
400,61313136,tertiary
401,61313136,tertiary
402,61313136,tertiary
403,61313136,tertiary
404,61313136,tertiary
405,61379878,secondary
406,61379878,secondary
407,61379878,secondary
408,230580788,residential
409,353229030,residential
410,400877098,tertiary
411,400877098,tertiary
412,400877098,tertiary
413,400877098,tertiary
414,400877098,tertiary
415,400877098,tertiary
416,583818933,primary
417,610205038,primary
418,610205038,primary
419,610205039,primary
420,610205040,primary
421,624903566,residential
422,624903569,residential
423,624903569,residential
424,624903569,residential
425,624903569,residential
426,624903569,residential
427,624903569,residential
428,626554862,residential
429,626554863,residential
430,629124914,residential
431,629124914,residential
432,629124915,tertiary
433,629124915,tertiary
434,629124915,tertiary
435,629124915,tertiary
436,629124915,tertiary
437,629124915,tertiary
438,629124915,tertiary
439,629124915,tertiary
440,629124915,tertiary
441,629124915,tertiary
442,629124915,tertiary
443,662304145,residential
444,665699495,primary
445,665699495,primary
446,665699495,primary
447,665699495,primary
448,665699495,primary
449,665699495,primary
450,666544900,residential
451,667052719,tertiary
452,667052719,tertiary
453,667052719,tertiary
454,667052720,tertiary
455,667052720,tertiary
456,667052728,secondary
457,667052729,residential
458,667052729,residential
459,667052729,residential
460,667052729,residential
461,667052729,residential
462,667052729,residential
463,667052729,residential
464,667052729,residential
465,667052730,residential
466,696774511,residential
467,696774511,residential
468,696774512,residential
469,696774512,residential
470,696774512,residential
471,696774512,residential
472,696774512,residential
473,696774512,residential
474,696774512,residential
475,696774512,residential
476,696774512,residential
477,696774512,residential
478,697833281,tertiary
479,697833282,tertiary
480,918422008,tertiary
481,970939924,secondary
482,970939924,secondary
483,970939925,secondary
484,1014487602,primary
485,1014487602,primary
486,1014487602,primary
487,1014487602,primary
488,1014487602,primary
489,1014487602,primary
490,1014487602,primary
491,1027007129,primary
492,1027007129,primary
493,1027007129,primary
494,1027007129,primary
495,1027007129,primary
496,1027007129,primary
497,1027007129,primary
498,1027007129,primary
