label_id,cluster_id,clustered,cluster_label_count
9,90627,1,2
10,90041,1,2
11,132310,0,1
12,142576,0,1
13,132301,0,1
14,91122,1,2
15,91444,1,3
16,92192,1,4
17,100199,1,4
18,91590,1,4
19,106488,1,2
20,100214,1,2
21,96079,1,2
22,103976,1,3
23,137801,0,1
24,130392,0,1
25,130404,1,2
26,138413,1,2
27,144687,0,1
28,141333,0,1
29,137872,0,1
30,134439,0,1
31,90078,1,3
32,99955,1,3
33,164835,0,1
34,160112,1,2
35,150382,1,4
36,154895,1,3
37,148546,1,2
38,163305,0,1
39,150139,1,3
40,173200,1,2
41,148650,0,1
42,159969,0,1
43,165072,0,1
44,159220,1,2
78,153730,1,2
79,164375,0,1
80,157867,1,2
81,156372,1,2
82,165752,1,3
83,146813,0,1
84,188825,1,2
85,169183,0,1
86,153745,1,2
87,153697,0,1
88,151494,0,1
89,165377,0,1
90,165371,0,1
91,160624,0,1
93,156115,0,1
94,187918,0,1
95,112191,1,2
96,115603,1,4
97,119821,1,4
98,111852,1,4
99,113112,0,1
100,118771,1,4
101,118022,0,1
102,112182,0,1
103,117188,1,3
104,117767,0,1
105,118120,1,4
106,117616,1,4
107,90497,1,2
108,116691,1,2
109,128157,1,3
110,126632,1,3
111,89647,1,3
112,96404,1,2
113,110360,1,2
115,90361,0,1
116,115080,0,1
117,112325,0,1
118,88172,0,1
119,102642,1,4
120,102653,1,3
121,87951,0,1
122,112351,0,1
123,98510,0,1
124,95325,1,2
125,93169,1,2
126,95970,1,2
127,130279,0,1
128,107393,1,3
129,117757,0,1
130,113350,0,1
131,98868,1,3
132,118262,1,2
133,97654,1,3
134,102391,1,4
135,139115,0,1
136,111979,1,3
138,111993,1,2
139,116159,0,1
140,94838,0,1
141,109690,1,2
142,102339,0,1
143,118252,0,1
144,115034,0,1
145,115908,0,1
146,120060,1,2
147,104088,1,2
148,129786,1,2
149,118248,0,1
150,117974,0,1
151,117790,0,1
152,116773,0,1
153,117375,0,1
154,119752,0,1
155,119735,0,1
156,118422,1,2
157,120262,0,1
158,109658,0,1
159,115045,0,1
160,111987,0,1
161,115458,0,1
162,114766,0,1
163,119739,1,2
164,130890,0,1
165,116260,1,2
166,116251,0,1
167,114254,1,2
168,116373,1,2
169,95413,0,1
170,103015,1,2
171,89660,1,2
172,107193,0,1
173,107405,0,1
174,99823,0,1
175,98335,0,1
176,100778,1,3
177,107329,1,3
178,105662,1,2
179,98350,1,2
180,101997,1,3
181,102976,1,2
182,95118,0,1
183,98324,1,4
184,95403,1,2
185,106375,1,2
186,91763,0,1
187,104741,1,2
188,97949,1,2
189,94629,1,2
190,94892,1,2
191,131201,0,1
192,129280,0,1
193,130998,0,1
194,131861,0,1
195,131541,0,1
196,115738,0,1
197,112419,1,4
198,113020,0,1
199,109938,1,2
200,117876,1,4
201,106162,1,5
202,98949,1,5
203,116247,0,1
205,109963,0,1
206,117873,0,1
207,119581,1,2
208,118135,0,1
210,111509,1,2
211,119893,0,1
212,115729,1,2
213,120086,1,2
214,119896,1,2
215,116233,1,4
216,98923,1,2
217,98281,0,1
218,118978,1,3
220,109932,1,2
222,118797,1,2
223,118611,0,1
224,115175,1,2
225,92166,1,2
226,116221,1,3
227,118929,0,1
229,98916,0,1
230,107035,1,3
231,98928,1,3
232,92222,1,3
233,104313,1,2
234,98272,0,1
235,106319,0,1
236,115252,1,3
237,95444,0,1
238,112265,0,1
239,111201,1,3
240,118952,1,2
241,110011,0,1
242,131945,1,2
243,124436,0,1
244,116199,1,3
245,116673,1,2
246,116214,1,3
247,119493,0,1
248,118698,1,2
249,120156,1,2
250,119842,1,2
251,125817,0,1
252,116191,0,1
253,115487,0,1
254,117712,1,2
255,113397,0,1
