label_id,cluster_id,count
9,442,5
11,467,5
14,422,5
15,471,6
27,301,9
31,234,9
32,229,7
33,237,9
82,320,6
83,636,6
86,632,5
87,634,4
105,815,4
115,694,3
120,48,9
123,698,3
135,51,9
136,53,7
145,57,11
146,127,8
217,396,7
218,382,7
239,388,6
240,842,5
287,830,4
291,269,6
283,928,6
286,105,8
292,575,6
294,381,6
279,841,6
281,103,8
285,109,9
280,930,4
282,832,4
284,927,6
288,929,4
293,108,10
331,926,6
332,925,5
335,56,8
336,149,7
479,582,4
480,152,11
483,153,8
484,824,3
530,393,6
532,384,5
533,938,5
535,720,3
561,398,5
537,685,4
538,679,6
564,402,6
566,401,5
540,687,4
547,151,10
528,373,6
534,939,5
614,700,3
615,111,10
674,706,4
622,42,10
671,848,4
624,44,10
673,702,3
670,704,3
679,971,4
680,845,3
689,965,8
690,851,5
693,968,5
694,970,6
907,571,5
908,923,5
914,921,4
915,572,8
937,96,11
938,570,8
940,99,8
941,573,4
959,631,5
960,630,7
961,645,4
962,641,5
963,628,6
965,638,3
966,635,4
977,867,6
978,866,5
979,26,9
980,952,3
983,956,4
985,957,4
991,954,5
992,961,5
993,944,4
994,862,3
995,864,4
996,963,4
997,959,7
998,949,3
999,947,4
1000,948,4
1001,946,5
1002,910,4
1003,456,5
1004,416,7
1005,419,5
1006,457,6
1029,315,5
1030,308,7
1031,225,8
1032,352,6
1033,350,5
1034,342,7
1035,311,8
1036,331,7
1037,305,6
1038,266,7
1039,264,8
1043,346,7
1044,344,7
1045,512,8
1046,511,5
1059,216,8
1061,199,10
1065,258,7
1097,253,10
1098,206,8
1064,254,7
1090,483,6
1054,509,7
1055,505,6
1067,204,9
1070,967,7
1086,484,6
1060,198,10
1063,255,8
1066,200,8
1071,965,8
1087,475,5
1088,480,7
1095,194,9
1096,250,7
1109,970,6
1110,971,4
1113,935,4
1114,931,5
1117,65,10
1118,60,13
1129,144,9
1130,141,11
1131,519,5
1133,520,6
1135,522,7
1137,753,5
1213,934,6
1256,917,6
1261,393,6
1223,396,7
1233,88,8
1288,402,6
1227,919,6
1229,387,6
1220,212,9
1238,776,6
1217,933,6
1231,920,6
1242,914,4
1250,568,4
1252,918,5
1254,579,5
1265,916,5
1267,938,5
1428,144,9
1476,659,6
1477,790,4
1478,794,4
1481,518,5
1482,755,4
1484,545,6
1485,796,4
1487,544,6
1524,543,5
1526,542,5
1625,141,11
1627,143,10
1654,287,9
1707,289,7
1647,270,9
1648,858,6
1701,358,7
1703,291,6
1704,879,5
1651,274,6
1656,276,8
1700,363,5
1708,860,4
1710,61,10
1711,66,10
1718,875,5
1719,360,8
1812,825,5
1867,140,12
1892,450,7
1894,631,5
1774,357,8
1906,268,6
1768,883,4
1769,362,8
1805,885,5
1849,828,3
1866,280,8
1800,271,5
1895,630,7
1910,377,10
1861,284,8
1868,278,7
1953,843,4
1955,394,6
1959,390,5
1961,578,6
1962,940,4
1963,385,5
1970,567,7
1972,373,6
1974,717,7
1988,151,10
2146,485,5
1977,679,6
2127,322,6
2152,448,7
2153,400,5
2013,265,7
2055,142,8
2163,403,6
2043,629,4
2068,143,10
2003,583,6
2095,347,5
2049,641,5
2101,345,5
2050,645,4
2156,420,5
2128,443,7
2134,426,5
2144,490,5
2034,592,5
2046,643,5
2080,464,4
2192,635,4
2197,639,3
2452,39,10
2242,362,8
2298,7,12
2469,36,10
2466,953,6
2240,357,8
2309,687,4
2307,4,10
2474,955,4
2482,23,9
2485,33,10
2498,620,6
2501,951,5
2600,969,7
2599,966,6
2650,967,7
2522,113,10
2546,251,8
2659,43,7
2526,161,9
2642,286,11
2523,194,9
2630,259,10
2655,112,9
2527,622,8
2620,206,8
2552,253,10
2539,151,10
2625,249,10
2643,288,7
2638,577,8
2641,190,9
2639,192,9
2687,64,15
2688,290,11
2694,846,5
2698,849,5
2702,852,5
2770,282,5
2756,951,5
2759,802,5
2743,26,9
2754,19,12
2713,119,9
2747,377,10
2774,14,10
2717,121,10
2734,965,8
2744,527,6
2755,941,4
2773,2,11
2721,851,5
2751,526,9
2780,280,8
2786,748,5
2788,802,5
2799,742,3
2910,964,4
3108,820,6
2864,537,5
2908,962,6
2949,777,3
2974,774,4
3081,521,6
2872,533,5
2947,813,3
3058,366,7
3074,764,5
2839,530,6
2871,728,3
2939,780,4
3057,683,5
2848,540,4
2944,772,3
2969,82,9
2972,784,4
3091,722,6
3122,389,6
3078,761,4
2865,960,6
2945,787,6
2951,778,4
2833,714,3
2868,566,4
2880,91,10
2911,535,5
2913,536,8
2937,530,6
2954,600,3
2970,75,14
3037,368,7
3064,454,5
2838,532,5
2906,531,8
2914,798,4
3083,690,3
2850,958,5
2870,534,6
2975,87,9
2907,538,5
2938,79,11
2948,84,8
2952,531,8
2968,74,11
2973,782,4
2997,383,6
2860,563,5
2892,77,10
2915,528,4
2967,77,10
3049,943,4
3071,376,6
3080,759,4
3127,383,6
3133,601,5
3136,395,6
3240,377,10
3250,182,9
3253,371,5
3137,718,3
3149,366,7
3163,374,5
3167,389,6
3221,65,10
3215,377,10
3260,876,4
3243,942,3
3383,689,4
3205,370,6
3224,60,13
3354,729,4
3435,613,5
3427,612,7
3375,677,5
3388,868,3
3356,861,6
3361,85,10
3401,610,4
3438,820,6
3403,369,7
3420,615,6
3471,665,5
3478,614,6
3430,744,4
3514,822,5
3516,564,5
3521,90,10
3536,3,12
3542,13,10
3538,7,12
3539,11,8
3540,15,9
3548,20,10
3553,30,10
3554,18,10
3552,27,10
3617,762,5
3621,764,5
3622,521,6
3627,753,5
3628,522,7
3636,581,7
3642,595,4
3643,588,6
3647,590,5
3648,586,5
3668,353,8
3670,184,7
3671,188,8
3672,154,9
3673,673,4
3679,913,6
3704,667,5
3721,912,5
3722,909,7
3724,907,6
3727,906,6
3786,606,5
3790,161,9
3788,607,5
3789,181,7
3794,164,10
3795,248,9
3815,786,5
3858,730,4
3859,597,7
3861,602,5
3863,89,10
3866,186,8
3867,182,9
3868,585,5
3870,594,6
3871,589,4
3872,189,10
3874,669,5
3875,587,4
3949,743,3
3944,562,5
3945,565,6
3948,715,4
4125,603,4
