label_id,way_type,intersection_distance
9,residential,16.318492095142467
10,-1,-1.0
11,residential,28.909092049228654
12,-1,-1.0
13,-1,-1.0
14,residential,26.150582873839262
15,residential,30.50238758912276
16,-1,-1.0
17,-1,-1.0
18,-1,-1.0
19,residential,34.10571336895312
20,residential,37.22975803663975
21,residential,28.554250653926836
22,residential,23.429943316038624
23,-1,-1.0
24,-1,-1.0
25,-1,-1.0
26,-1,-1.0
27,tertiary,52.779034197416365
28,-1,-1.0
31,tertiary,24.7489212756084
32,tertiary,30.165982865459043
33,residential,23.460494657576493
34,-1,-1.0
35,-1,-1.0
36,-1,-1.0
37,-1,-1.0
38,-1,-1.0
39,-1,-1.0
40,-1,-1.0
41,-1,-1.0
42,-1,-1.0
43,-1,-1.0
44,-1,-1.0
45,-1,-1.0
46,-1,-1.0
47,-1,-1.0
48,-1,-1.0
49,-1,-1.0
50,-1,-1.0
51,-1,-1.0
52,-1,-1.0
53,-1,-1.0
54,-1,-1.0
55,-1,-1.0
56,primary,18.28825589804111
57,primary,30.64832430175003
58,-1,-1.0
59,-1,-1.0
60,-1,-1.0
61,-1,-1.0
62,-1,-1.0
63,-1,-1.0
64,-1,-1.0
65,-1,-1.0
66,-1,-1.0
67,-1,-1.0
68,-1,-1.0
69,-1,-1.0
70,-1,-1.0
71,-1,-1.0
72,-1,-1.0
73,-1,-1.0
74,tertiary,37.27802354977794
75,tertiary,44.564816885187255
76,-1,-1.0
77,-1,-1.0
78,-1,-1.0
79,-1,-1.0
80,-1,-1.0
81,-1,-1.0
82,tertiary,41.658947167401614
83,tertiary,32.23925624008241
84,tertiary,47.214408807197806
85,tertiary,50.940381582951
86,tertiary,45.21678567199402
87,tertiary,37.3540788122257
88,tertiary,41.785191155352734
89,tertiary,36.128485855928304
90,-1,-1.0
91,-1,-1.0
92,-1,-1.0
93,-1,-1.0
94,-1,-1.0
95,-1,-1.0
96,-1,-1.0
97,-1,-1.0
98,-1,-1.0
99,-1,-1.0
100,-1,-1.0
101,-1,-1.0
102,-1,-1.0
103,residential,42.96754092706629
104,residential,42.72755547493037
105,residential,25.268327702993265
115,residential,28.324037017263432
116,-1,-1.0
117,-1,-1.0
118,-1,-1.0
119,residential,44.015784848972324
120,residential,52.59439334226282
121,residential,48.11224351991534
122,residential,33.448968281185486
123,residential,61.11300663889758
124,residential,67.77446100116667
125,residential,32.65809810714708
126,residential,28.988223334133096
127,-1,-1.0
128,-1,-1.0
129,-1,-1.0
130,-1,-1.0
131,-1,-1.0
132,-1,-1.0
133,residential,39.56435678601473
134,residential,18.6726142529409
135,primary,25.71646786239034
136,primary,31.380654104783474
137,primary,35.63558621387745
138,primary,28.410203844016934
139,-1,-1.0
140,-1,-1.0
141,-1,-1.0
142,-1,-1.0
143,-1,-1.0
144,-1,-1.0
145,primary,26.99497137458673
146,primary,39.22735292830122
147,-1,-1.0
148,-1,-1.0
149,-1,-1.0
150,-1,-1.0
151,-1,-1.0
152,-1,-1.0
153,-1,-1.0
154,-1,-1.0
155,-1,-1.0
156,-1,-1.0
157,-1,-1.0
158,-1,-1.0
159,-1,-1.0
160,-1,-1.0
161,-1,-1.0
162,-1,-1.0
163,-1,-1.0
164,-1,-1.0
