label_id,mikey_validated,jon_validated
9,f,t
12,f,t
20,f,t
22,f,t
23,f,t
24,f,t
25,f,t
26,f,t
27,f,t
28,f,t
29,f,t
30,f,t
36,f,t
37,f,t
39,f,t
43,f,t
46,f,t
49,f,t
50,f,t
52,f,t
56,f,t
65,f,t
66,f,t
73,f,t
80,f,t
88,t,t
91,f,t
92,t,f
96,t,f
97,f,t
100,f,t
101,f,t
102,f,t
103,f,t
105,t,f
115,f,t
118,f,t
119,t,t
122,f,t
126,f,t
127,f,t
128,t,f
130,f,t
133,f,t
134,f,t
138,f,t
140,f,t
141,f,t
143,f,t
146,t,f
147,f,t
151,f,t
152,f,t
153,t,f
156,f,t
157,f,t
159,t,f
162,f,t
168,f,t
169,f,t
171,f,t
172,f,t
173,f,t
174,f,t
177,f,t
179,f,t
187,f,t
190,f,t
191,f,t
192,f,t
193,f,t
194,f,t
195,f,t
196,f,t
200,f,t
207,f,t
211,f,t
212,f,t
213,f,t
214,f,t
216,f,t
217,f,t
218,f,t
220,f,t
223,f,t
226,f,t
227,f,t
231,f,t
234,f,t
236,t,t
237,t,f
238,t,t
240,f,t
241,f,t
244,f,t
245,f,t
246,t,t
247,t,t
248,f,t
250,f,t
253,t,t
254,f,t
256,t,f
262,f,t
268,f,t
269,f,t
271,f,t
274,f,t
280,f,t
281,f,t
282,f,t
283,f,t
285,f,t
286,f,t
289,f,t
291,f,t
292,f,t
293,f,t
294,f,t
298,f,t
299,f,t
301,f,t
303,f,t
308,f,t
309,f,t
329,t,f
344,f,t
348,f,t
352,t,f
355,f,t
358,f,t
359,t,t
360,f,t
363,f,t
367,f,t
368,f,t
370,f,t
372,f,t
373,f,t
375,f,t
378,f,t
381,f,t
382,f,t
388,f,t
390,f,t
391,f,t
392,f,t
395,t,t
396,f,t
399,f,t
401,f,t
404,f,t
406,f,t
407,f,t
418,t,f
428,t,f
439,t,f
446,t,f
475,t,f
476,t,f
481,t,f
485,f,t
486,f,t
487,f,t
490,f,t
492,f,t
494,f,t
495,f,t
496,f,t
499,f,t
501,f,t
506,f,t
513,f,t
521,f,t
522,f,t
523,f,t
524,f,t
525,t,f
526,f,t
529,f,t
531,f,t
534,f,t
536,f,t
539,f,t
540,f,t
542,f,t
545,f,t
546,f,t
547,f,t
549,f,t
551,f,t
552,f,t
553,f,t
554,f,t
555,f,t
556,f,t
561,f,t
562,f,t
565,f,t
567,f,t
573,f,t
574,f,t
576,f,t
577,f,t
580,f,t
629,f,t
631,f,t
633,f,t
634,f,t
639,f,t
640,f,t
641,f,t
644,f,t
645,f,t
646,f,t
647,f,t
648,f,t
649,f,t
650,f,t
651,f,t
654,f,t
659,f,t
663,f,t
666,f,t
668,f,t
670,f,t
671,f,t
673,f,t
675,f,t
677,f,t
680,f,t
681,f,t
682,f,t
683,f,t
687,f,t
689,f,t
690,f,t
691,f,t
693,f,t
694,f,t
695,f,t
698,f,t
699,f,t
700,f,t
701,f,t
702,f,t
704,f,t
705,f,t
706,f,t
707,f,t
708,f,t
713,f,t
715,f,t
722,f,t
734,f,t
735,f,t
737,f,t
745,f,t
748,f,t
749,f,t
751,f,t
756,f,t
758,f,t
759,f,t
760,f,t
762,f,t
764,f,t
768,f,t
788,f,t
789,f,t
799,t,t
801,f,t
804,f,t
815,f,t
817,f,t
819,f,t
821,f,t
822,f,t
823,f,t
824,f,t
826,f,t
827,f,t
834,f,t
836,f,t
837,f,t
838,f,t
842,f,t
845,f,t
846,f,t
848,f,t
850,f,t
851,f,t
852,f,t
853,f,t
855,f,t
856,f,t
857,f,t
861,f,t
863,f,t
864,f,t
866,f,t
868,f,t
869,f,t
870,f,t
872,f,t
873,f,t
876,f,t
877,f,t
878,f,t
879,f,t
884,t,f
887,t,f
889,t,f
892,t,f
893,t,f
895,t,f
918,t,f
920,t,f
926,t,f
940,f,t
943,f,t
946,f,t
947,t,t
950,f,t
951,t,t
952,t,f
954,f,t
955,t,t
969,f,t
970,f,t
971,f,t
972,t,t
977,f,t
978,f,t
982,f,t
983,f,t
984,t,t
985,f,t
986,t,t
987,t,t
989,f,t
990,t,t
991,f,t
992,f,t
993,t,t
994,f,t
995,f,t
997,f,t
998,f,t
999,f,t
1001,t,t
1002,f,t
1003,t,t
1013,f,t
1014,f,t
1015,f,t
1017,f,t
1025,f,t
1030,f,t
1036,t,f
1039,t,f
1040,t,f
1052,t,f
1061,t,f
1063,t,f
1071,t,f
1074,t,f
1080,t,f
1097,t,f
1153,t,t
1156,t,t
1158,f,t
1159,f,t
1170,t,f
1178,f,t
1180,f,t
1181,f,t
1197,f,t
1198,t,t
1199,f,t
1200,f,t
1202,f,t
1205,f,t
1216,f,t
1218,f,t
1224,f,t
1225,f,t
1233,f,t
1235,f,t
1236,f,t
1238,f,t
1242,f,t
1244,f,t
1260,f,t
1261,f,t
1262,t,t
1272,f,t
1278,f,t
1279,f,t
1280,t,f
1281,f,t
1287,t,f
1295,t,f
1310,f,t
1312,f,t
1313,f,t
1314,f,t
1316,f,t
1317,f,t
1318,f,t
1319,f,t
1321,f,t
1332,f,t
1334,f,t
1335,f,t
1390,f,t
1405,t,f
1409,t,f
1410,t,f
1421,t,f
1424,t,f
1425,f,t
1437,f,t
1439,f,t
1440,t,f
1442,t,f
1444,f,t
1447,t,f
1449,t,f
1452,t,t
1455,f,t
1456,f,t
1457,t,t
1459,f,t
1460,f,t
1461,f,t
1470,t,f
1480,t,f
1490,t,f
1493,t,f
1511,t,f
1522,f,t
1554,t,f
1631,f,t
1641,f,t
1643,t,f
1645,f,t
1659,f,t
1661,f,t
1662,f,t
1665,t,t
1666,f,t
1667,f,t
1668,t,t
1672,t,t
1673,f,t
1680,f,t
1764,f,t
1766,t,t
1767,f,t
1768,f,t
1808,t,f
1814,t,f
1815,t,f
1822,t,f
1823,t,f
1832,t,f
1834,t,f
1837,t,f
1853,t,f
1856,t,f
1922,f,t
1957,f,t
1960,f,t
1964,f,t
1971,t,f
1974,f,t
1975,f,t
1992,t,t
2001,f,t
2009,f,t
2029,t,f
2033,f,t
2035,f,t
2036,t,f
2040,t,f
2041,t,t
2043,t,f
2045,f,t
2047,f,t
2049,t,f
2050,t,f
2058,f,t
2059,f,t
2061,f,t
2062,f,t
2064,f,t
2065,f,t
2066,f,t
2073,f,t
2074,f,t
2075,f,t
2076,f,t
2077,f,t
2080,t,t
2084,f,t
2085,t,t
2089,f,t
2090,t,t
2095,f,t
2101,f,t
2102,f,t
2142,t,f
2145,f,t
2154,f,t
2155,f,t
2157,f,t
2158,f,t
2160,f,t
2162,f,t
2166,t,t
2173,f,t
2194,f,t
2198,f,t
2200,f,t
2212,t,f
2218,f,t
2220,f,t
2234,t,f
2237,f,t
2240,f,t
2247,f,t
2253,f,t
2256,t,f
2261,t,f
2284,t,f
2285,f,t
2286,f,t
2296,f,t
2300,f,t
2304,f,t
2305,f,t
2307,f,t
2327,f,t
2344,t,f
2345,t,f
2378,f,t
2379,f,t
2389,f,t
2392,t,f
2396,f,t
2400,f,t
2407,t,t
2408,f,t
2431,f,t
2447,f,t
2452,t,f
2453,f,t
2460,f,t
2463,f,t
2467,t,t
2484,t,t
2487,f,t
2488,f,t
2489,f,t
2492,f,t
2495,f,t
2506,f,t
2507,f,t
2508,f,t
2510,f,t
2512,f,t
2513,f,t
2515,t,t
2526,t,t
2528,f,t
2534,f,t
2540,f,t
2541,f,t
2543,f,t
2546,t,t
2547,f,t
2548,f,t
2550,t,t
2554,t,f
2561,t,f
2563,f,t
2566,f,t
2570,f,t
2571,f,t
2588,f,t
2593,t,f
2606,f,t
2610,f,t
2612,t,f
2614,f,t
2616,f,t
2621,f,t
2624,f,t
2625,f,t
2626,t,f
2627,f,t
2628,t,t
2644,t,f
2650,f,t
2672,f,t
2675,t,t
2683,f,t
2687,t,t
2689,f,t
2724,f,t
2733,t,f
2737,f,t
2743,f,t
2749,f,t
2755,t,t
2763,f,t
2767,t,t
2774,t,f
2777,f,t
2790,f,t
2792,t,f
2794,f,t
2796,t,f
2797,f,t
2799,f,t
2803,f,t
2806,t,f
2809,t,f
2811,t,f
2817,f,t
2845,f,t
2846,f,t
2847,f,t
2849,f,t
2850,f,t
2852,f,t
2855,f,t
2856,f,t
2860,f,t
2861,t,t
2867,t,t
2869,f,t
2872,t,t
2874,f,t
2878,t,t
2880,f,t
2881,f,t
2882,f,t
2884,t,f
2887,f,t
2888,t,f
2895,t,f
2896,t,f
2897,t,t
2899,f,t
2900,f,t
2902,f,t
2906,f,t
2917,t,f
2918,t,f
2919,f,t
2922,t,t
2925,f,t
2929,t,f
2932,t,t
2944,f,t
2947,f,t
2952,f,t
2955,f,t
2958,f,t
2962,t,t
2970,f,t
2983,t,t
2985,t,t
2987,f,t
2989,f,t
2991,t,t
2992,f,t
3003,f,t
3009,t,f
3020,t,t
3023,f,t
3027,f,t
3028,f,t
3036,f,t
3039,f,t
3041,t,f
3047,t,f
3057,f,t
3061,t,f
3065,f,t
3068,f,t
3079,t,f
3083,f,t
3084,f,t
3085,f,t
3086,f,t
3089,f,t
3096,f,t
3100,f,t
3101,f,t
3104,t,f
3108,f,t
3110,f,t
3113,t,t
3116,f,t
3117,f,t
3126,f,t
3133,t,f
3139,f,t
3143,f,t
3145,f,t
3146,f,t
3147,t,t
3149,f,t
3152,f,t
3154,t,t
3159,f,t
3161,f,t
3164,f,t
3168,t,t
3172,f,t
3174,t,t
3175,f,t
3183,f,t
3186,f,t
3193,f,t
3194,t,f
3196,t,f
3199,t,t
3200,f,t
3205,f,t
3212,t,f
3217,t,t
3235,f,t
3245,f,t
3251,t,t
3259,f,t
3271,f,t
3279,f,t
3323,f,t
3325,f,t
3326,f,t
3327,f,t
3328,f,t
3331,t,f
3333,f,t
3334,f,t
3336,f,t
3337,f,t
3338,f,t
3339,f,t
3340,t,f
3344,f,t
3346,f,t
3350,t,f
3352,f,t
3354,f,t
3355,f,t
3392,t,t
3407,f,t
3412,t,t
3414,f,t
3418,f,t
3419,f,t
3420,t,t
3421,f,t
3425,f,t
3428,t,f
3431,f,t
3433,f,t
3434,t,t
3440,f,t
3446,f,t
3454,t,f
3462,f,t
3463,t,f
3467,t,f
3468,t,f
3477,f,t
3478,f,t
3479,t,t
3482,t,f
3485,f,t
3486,t,t
3493,t,f
3497,f,t
3505,t,t
3507,f,t
3509,t,f
3511,t,f
3514,f,t
3515,t,t
3518,t,f
3528,t,f
3537,f,t
3547,f,t
3597,t,t
3598,f,t
3599,t,t
3616,t,t
3625,t,f
3627,f,t
3631,t,t
3633,f,t
3635,f,t
3636,t,f
3637,t,f
3638,f,t
3640,f,t
3646,f,t
3660,t,f
3661,f,t
3709,t,t
3717,t,f
3718,t,t
3719,t,t
3720,f,t
3725,f,t
3726,f,t
3730,f,t
3731,t,t
3732,t,t
3739,f,t
3740,f,t
3741,f,t
3742,f,t
3749,t,t
3753,f,t
3756,f,t
3757,t,t
3759,t,f
3760,t,t
3761,f,t
3768,f,t
3775,f,t
3785,f,t
3787,t,f
3788,f,t
3790,f,t
3796,f,t
3798,f,t
3800,f,t
3801,t,f
3811,f,t
3813,f,t
3815,f,t
3817,f,t
3818,f,t
3819,t,f
3820,f,t
3822,f,t
3850,f,t
3851,f,t
3852,t,f
3853,f,t
3854,f,t
3855,t,f
3864,t,f
3865,t,t
3866,f,t
3874,f,t
3887,f,t
3891,t,t
3892,t,f
3893,f,t
3911,t,t
3912,f,t
3914,t,f
3916,f,t
3918,f,t
3919,f,t
3931,f,t
3939,f,t
3941,f,t
3947,f,t
3953,t,f
3957,f,t
3965,f,t
3970,f,t
3972,f,t
3976,t,f
3984,f,t
3985,f,t
3987,f,t
3998,t,f
4009,f,t
4012,f,t
4014,t,t
4016,f,t
4025,f,t
4026,f,t
4027,f,t
4028,t,t
4029,f,t
4031,f,t
4032,t,t
4038,f,t
4039,t,t
4040,f,t
4046,f,t
4048,f,t
4050,f,t
4052,f,t
4063,f,t
4065,f,t
4069,f,t
4070,f,t
4071,f,t
4072,t,t
4077,f,t
4078,t,t
4080,f,t
4083,t,t
4087,t,t
4088,t,t
4093,f,t
4094,t,t
4095,f,t
4097,f,t
4100,t,f
4102,f,t
4104,f,t
4107,f,t
4109,f,t
4112,f,t
4118,f,t
4123,f,t
4124,t,t
4125,f,t
4126,f,t
4129,f,t
4130,f,t
4131,f,t
4132,f,t
4138,t,f
4144,f,t
4145,f,t
4147,t,f
4151,f,t
4160,f,t
4169,f,t
4170,f,t
4172,t,f
4173,t,t
4191,f,t
4194,f,t
4199,f,t
4204,f,t
4208,f,t
4210,f,t
4219,f,t
4222,f,t
4223,f,t
4232,t,f
4239,f,t
4241,f,t
4246,t,t
4250,f,t
4253,f,t
4255,f,t
4257,f,t
4259,f,t
4265,t,t
4266,f,t
4267,t,f
4271,f,t
4283,f,t
4286,t,t
4292,f,t
4321,t,f
4342,f,t
4347,f,t
4359,f,t
4362,t,f
4363,f,t
4374,t,f
4378,f,t
4382,f,t
4383,f,t
4386,f,t
4387,t,t
4389,f,t
4390,t,t
4392,f,t
4393,f,t
4395,f,t
4398,f,t
4399,f,t
4401,t,t
4404,t,f
4408,f,t
4411,f,t
4414,t,t
4417,f,t
4420,f,t
4423,t,t
4425,f,t
4426,f,t
4427,f,t
4434,t,f
4456,f,t
4462,f,t
4464,f,t
4468,t,f
4469,f,t
4470,f,t
4471,f,t
4473,f,t
4478,f,t
4484,f,t
4486,f,t
4502,t,f
4504,t,f
4506,t,f
4510,t,f
4523,t,f
4550,f,t
4565,f,t
4567,f,t
4575,f,t
4584,t,f
4588,f,t
4596,t,f
4601,f,t
4604,t,f
4610,f,t
4624,f,t
4641,f,t
4644,t,t
4646,f,t
4663,f,t
4665,f,t
4666,f,t
4669,t,f
4670,t,f
4671,t,f
4674,f,t
4679,t,t
4681,f,t
4684,f,t
4685,f,t
4687,f,t
4688,t,t
4689,t,f
4696,f,t
4702,f,t
4706,t,t
4707,t,t
4712,f,t
4716,f,t
4717,t,f
4730,f,t
4742,f,t
4747,f,t
4748,t,f
4753,t,t
4755,f,t
4759,f,t
4765,f,t
4766,f,t
4769,f,t
4771,f,t
4783,t,f
4784,t,t
4787,f,t
4790,t,f
4795,f,t
4796,f,t
4798,f,t
4800,f,t
4805,f,t
4809,f,t
4811,f,t
4820,f,t
4825,t,f
4826,f,t
4835,f,t
4837,t,f
4839,f,t
4843,f,t
4844,f,t
4845,f,t
4846,f,t
4850,f,t
4852,f,t
4855,f,t
4857,f,t
4872,f,t
4878,t,f
4884,f,t
4885,f,t
4890,f,t
4899,t,f
4911,f,t
4917,t,t
4918,f,t
4931,f,t
4935,t,t
4936,t,f
4939,t,t
4940,f,t
4942,f,t
4943,t,t
4948,f,t
4955,f,t
4956,f,t
4961,f,t
4978,f,t
4984,t,f
4998,f,t
5002,f,t
5004,f,t
5015,t,t
5048,f,t
5051,f,t
5057,f,t
5096,f,t
5131,f,t
5146,f,t
5155,f,t
5164,f,t
5179,f,t
5184,t,t
5222,f,t
5234,f,t
5248,f,t
5251,f,t
5258,t,t
5259,f,t
5260,f,t
5261,f,t
5266,t,t
5267,f,t
5282,f,t
5283,f,t
5287,t,f
5290,f,t
5304,t,f
5307,f,t
5318,t,t
5322,f,t
5324,f,t
5333,f,t
5335,f,t
5337,f,t
5339,f,t
5340,f,t
5347,f,t
5359,t,t
5364,t,f
5365,t,f
5368,t,f
5369,t,f
5376,t,f
5377,f,t
5379,t,t
5380,f,t
5382,f,t
5383,t,f
5384,t,f
5386,f,t
5391,f,t
5420,f,t
5429,t,f
5441,f,t
5448,t,t
5464,f,t
5466,t,f
5491,f,t
5493,f,t
5494,f,t
5498,f,t
5507,f,t
5518,t,f
5522,f,t
5545,f,t
5553,f,t
5562,t,t
5567,f,t
5568,f,t
5572,f,t
5586,t,f
5588,t,t
5596,f,t
5598,f,t
5599,f,t
5600,f,t
5601,f,t
5604,t,f
5605,f,t
5608,t,t
5609,t,f
5610,t,t
5612,f,t
5613,f,t
5614,t,f
5617,t,f
5618,f,t
5619,f,t
5620,f,t
5621,t,f
5623,t,f
5625,t,f
5637,t,f
5651,t,f
5676,t,f
5703,t,f
5709,f,t
5711,t,f
5712,t,f
5715,t,f
5723,f,t
5725,t,f
5726,f,t
5727,t,f
5728,f,t
5729,t,f
5732,f,t
5734,f,t
5738,f,t
5745,f,t
5749,t,f
5752,t,t
5753,f,t
5754,t,t
5760,t,t
5764,t,f
5766,t,f
5767,f,t
5776,f,t
5777,t,f
5785,t,t
5792,f,t
5798,f,t
5800,f,t
5868,f,t
5871,f,t
5872,f,t
5896,f,t
5904,f,t
5907,f,t
5911,f,t
5927,f,t
5928,f,t
5936,t,f
5955,t,t
5981,f,t
5983,f,t
5984,t,f
5986,t,t
5987,f,t
5988,t,f
5989,f,t
5992,t,t
5993,t,t
5994,t,t
5995,t,f
5996,t,t
5998,t,f
6000,t,f
6001,t,f
6006,t,f
6017,t,t
6018,f,t
6020,f,t
6023,t,t
6025,f,t
6027,t,t
6029,f,t
6030,f,t
6033,f,t
6034,t,f
6036,f,t
6043,f,t
6044,f,t
6045,t,t
6047,f,t
6051,f,t
6054,f,t
6055,f,t
6059,f,t
6063,f,t
6066,f,t
6082,t,t
6092,f,t
6093,f,t
6094,f,t
6107,t,t
6111,f,t
6122,f,t
6127,f,t
6129,f,t
6133,f,t
6136,f,t
6143,f,t
6145,f,t
6146,f,t
6147,f,t
6150,t,t
6152,f,t
6153,t,f
6163,f,t
6164,t,f
6166,f,t
6170,t,t
6176,t,f
6178,t,t
6184,f,t
6185,t,f
6190,f,t
6198,t,f
6199,t,f
6202,t,t
6204,t,t
6206,f,t
6208,t,f
6215,f,t
6224,f,t
6236,t,t
6238,f,t
6240,f,t
6241,t,f
6243,t,f
6246,f,t
6247,t,t
6250,t,f
6279,f,t
6282,f,t
6284,f,t
6287,f,t
6290,t,t
6291,f,t
6293,f,t
6295,f,t
6296,t,t
6297,f,t
6300,f,t
6301,f,t
6303,f,t
6308,t,f
6309,t,t
6311,f,t
6315,f,t
6317,f,t
6321,f,t
6322,t,f
6323,f,t
6326,f,t
6327,f,t
6328,f,t
6352,f,t
6356,t,f
6366,t,f
6393,f,t
6397,f,t
6399,f,t
6403,f,t
6440,f,t
6446,f,t
6448,f,t
6449,f,t
6452,f,t
6457,f,t
6458,f,t
6460,f,t
6461,f,t
6467,f,t
6469,t,t
6471,f,t
6504,f,t
6505,f,t
6510,f,t
6517,t,f
6532,f,t
6537,f,t
6545,t,t
6548,t,f
6550,f,t
6553,t,f
6556,t,f
6559,f,t
6560,t,f
6561,t,f
6563,f,t
6595,t,t
6602,f,t
6604,t,f
6611,f,t
6612,f,t
6629,f,t
6661,f,t
6683,t,f
6686,f,t
6687,f,t
6722,f,t
6733,f,t
6736,t,f
6738,f,t
6742,t,f
6743,t,f
6745,f,t
6748,f,t
6750,f,t
6751,t,f
6755,f,t
6756,f,t
6758,t,f
6762,t,f
6795,f,t
6797,f,t
6801,t,f
6808,f,t
6811,t,t
6822,f,t
6825,f,t
6834,t,f
6836,f,t
6837,t,f
6839,f,t
6842,f,t
6843,f,t
6845,f,t
6847,f,t
6849,t,f
6851,f,t
6855,f,t
6856,t,f
6875,f,t
6878,f,t
6880,f,t
6881,f,t
6886,f,t
6889,t,f
6893,f,t
6894,t,t
6898,f,t
6900,t,f
6906,f,t
6907,f,t
6909,f,t
6913,f,t
6926,f,t
6929,f,t
6930,f,t
6956,f,t
7006,f,t
7011,f,t
7018,t,f
7027,t,f
7055,t,f
7060,f,t
7102,f,t
7111,t,f
7116,t,f
7141,f,t
7143,t,f
7148,f,t
7155,f,t
7160,f,t
7168,f,t
7172,f,t
7188,f,t
7204,f,t
7208,f,t
7209,f,t
7218,f,t
7220,t,f
7224,t,f
7227,f,t
7238,f,t
7242,f,t
7252,t,f
7253,f,t
7264,t,f
7267,f,t
7278,f,t
7315,f,t
7317,f,t
7319,f,t
7320,f,t
7325,f,t
7328,f,t
7332,f,t
7338,f,t
7363,t,f
7368,f,t
7371,f,t
7373,f,t
7374,f,t
7377,f,t
7382,t,t
7387,f,t
7392,f,t
7424,t,f
7429,f,t
7432,f,t
7434,f,t
7435,f,t
7436,f,t
7437,f,t
7441,f,t
7443,f,t
