audit_task_id,label_id,label_type,severity,correct,high_quality_user,gsv_panorama_id,agree_count,disagree_count,notsure_count,image_width,image_height,sv_image_x,sv_image_y,canvas_width,canvas_height,canvas_x,canvas_y,zoom,heading,pitch,photographer_heading,photographer_pitch,label_tags,label_description,heading_diff,pitch_diff,geometry
19418,86788,SurfaceProblem,2.0,1,False,BpVD1H9f1A6URlrjPUcyZg,2,0,0,13312.0,6656.0,5686,-209,720,480,155,237,1,183.0625,-7.125,358.67840576171875,6.516868591308594,0.0,0.0,-175.61590576171875,-13.641868591308594,POINT (-122.28125 47.698307037353516)
21038,91037,CurbRamp,,1,True,g0kskJSQVRkZXwH8mmA3gA,1,0,0,16384.0,8192.0,1477,-902,720,480,392,173,1,34.0625,-35.0,99.72467041015625,-2.702781677246093,0.0,0.0,-65.66217041015625,-32.297218322753906,POINT (-122.31624603271484 47.55794906616211)
22195,93842,CurbRamp,1.0,1,True,npPLy6aGDOcUNgSXA4sq8Q,1,0,0,16384.0,8192.0,6495,-297,720,480,361,170,1,175.1875,-19.25,299.3964538574219,2.216354370117187,0.0,0.0,-124.20895385742188,-21.466354370117188,POINT (-122.32888793945312 47.5999755859375)
47238,190528,CurbRamp,1.0,1,True,KIOwpToFQQi4QK6hxq2Jjg,1,0,0,16384.0,8192.0,1696,-659,720,480,448,255,1,31.4375,-16.1875,132.76138305664062,-1.222160339355468,0.0,0.0,-101.32388305664062,-14.965339660644531,POINT (-122.3386001586914 47.6960334777832)
47291,190672,CurbRamp,1.0,1,True,00WCIfeoGC33NDp8s0_KGg,1,0,0,16384.0,8192.0,12331,-747,720,480,336,306,2,335.875,-15.803571701049805,180.81520080566406,0.31516265869140603,0.0,0.0,155.05979919433594,-16.11873435974121,POINT (-122.28343200683594 47.546104431152344)
47338,191013,Obstacle,3.0,1,True,rh4nnshodbvxdcxxi78lgg,3,0,0,16384.0,8192.0,10227,-155,720,480,337,245,3,277.28125,-4.453125,358.7212829589844,-0.78802490234375,0.0,0.0,-81.44003295898438,-3.66510009765625,POINT (-122.34477996826172 47.69407653808594)
47329,191040,Obstacle,2.0,1,True,XXBdcAbYBVFzGqhBNZPPOw,4,1,0,16384.0,8192.0,4934,-200,720,480,180,150,3,140.63839721679688,-9.279017448425293,322.53143310546875,-0.6511764526367181,0.0,0.0,-181.89303588867188,-8.627840995788574,POINT (-122.26533508300781 47.55073165893555)
47338,191042,CurbRamp,2.0,1,True,L7GkCKkpEXZPpLANfA-6fA,1,0,0,16384.0,8192.0,10924,-276,720,480,562,254,3,287.078125,-7.875,268.0332946777344,-0.5347137451171871,0.0,0.0,19.044830322265625,-7.3402862548828125,POINT (-122.3447494506836 47.69428253173828)
47351,191146,SurfaceProblem,3.0,1,True,9MR79Wvn4fAl2J_20KRtfw,1,0,0,16384.0,8192.0,4262,-729,720,480,417,187,2,110.37723541259766,-24.551340103149414,178.767333984375,-1.036239624023437,0.0,0.0,-68.39009857177734,-23.515100479125977,POINT (-122.26460266113281 47.55056381225586)
47352,191088,CurbRamp,1.0,1,True,AmI0dQwNAYtoQVumISP8Mw,1,0,0,16384.0,8192.0,11615,-877,720,480,251,215,2,323.114990234375,-26.525714874267578,247.79360961914062,-1.209503173828125,0.0,0.0,75.32138061523438,-25.316211700439453,POINT (-122.295166015625 47.56393814086914)
47338,191108,CurbRamp,1.0,1,True,eEul2WtgPQTGKEDWCImc-g,1,0,0,16384.0,8192.0,4364,-289,720,480,526,288,3,111.84375,-6.890625,270.17559814453125,-1.646469116210937,0.0,0.0,-158.33184814453125,-5.2441558837890625,POINT (-122.34477233886719 47.694129943847656)
47362,191190,SurfaceProblem,,1,True,hRVUuUV8pboy5B5gxN505A,1,0,0,16384.0,8192.0,3252,-621,720,480,129,198,2,106.83928680419922,-21.66964340209961,179.3957061767578,7.5517578125,0.0,0.0,-72.5564193725586,-29.22140121459961,POINT (-122.29090118408203 47.56101608276367)
47363,191239,CurbRamp,1.0,1,True,JWcQcgtzo4OgimnyFu-HNQ,1,0,0,16384.0,8192.0,5275,-1573,720,480,216,353,1,171.8249969482422,-29.375,81.48983764648438,4.7758636474609375,0.0,0.0,90.33515930175781,-34.15086364746094,POINT (-122.28841400146484 47.56423568725586)
