city,label_id,mikey_validated,jon_validated
seattle,9,f,t
seattle,12,f,t
seattle,20,f,t
seattle,22,f,t
seattle,23,f,t
seattle,24,f,t
seattle,25,f,t
seattle,26,f,t
seattle,27,f,t
seattle,28,f,t
seattle,29,f,t
seattle,30,f,t
seattle,36,f,t
seattle,37,f,t
seattle,39,f,t
seattle,43,f,t
seattle,46,f,t
seattle,49,f,t
seattle,50,f,t
seattle,52,f,t
seattle,56,f,t
seattle,65,f,t
seattle,66,f,t
seattle,73,f,t
seattle,80,f,t
seattle,88,t,t
seattle,91,f,t
seattle,92,t,f
seattle,96,t,f
seattle,97,f,t
seattle,100,f,t
seattle,101,f,t
seattle,102,f,t
seattle,103,f,t
seattle,105,t,f
seattle,115,f,t
seattle,118,f,t
seattle,119,t,t
seattle,122,f,t
seattle,126,f,t
seattle,127,f,t
seattle,128,t,f
seattle,130,f,t
seattle,133,f,t
seattle,134,f,t
seattle,138,f,t
seattle,140,f,t
seattle,141,f,t
seattle,143,f,t
seattle,146,t,f
seattle,147,f,t
seattle,151,f,t
seattle,152,f,t
seattle,153,t,f
seattle,156,f,t
seattle,157,f,t
seattle,159,t,f
seattle,162,f,t
seattle,168,f,t
seattle,169,f,t
seattle,171,f,t
seattle,172,f,t
seattle,173,f,t
seattle,174,f,t
seattle,177,f,t
seattle,179,f,t
seattle,187,f,t
seattle,190,f,t
seattle,191,f,t
seattle,192,f,t
seattle,193,f,t
seattle,194,f,t
seattle,195,f,t
seattle,196,f,t
seattle,200,f,t
seattle,207,f,t
seattle,211,f,t
seattle,212,f,t
seattle,213,f,t
seattle,214,f,t
seattle,216,f,t
seattle,217,f,t
seattle,218,f,t
seattle,220,f,t
seattle,223,f,t
seattle,226,f,t
seattle,227,f,t
seattle,231,f,t
seattle,234,f,t
seattle,236,t,t
seattle,237,t,f
seattle,238,t,t
seattle,240,f,t
seattle,241,f,t
seattle,244,f,t
seattle,245,f,t
seattle,246,t,t
seattle,247,t,t
seattle,248,f,t
seattle,250,f,t
seattle,253,t,t
seattle,254,f,t
seattle,256,t,f
seattle,262,f,t
seattle,268,f,t
seattle,269,f,t
