city,label_id,mikey_validated,jon_validated
seattle,164,f,t
seattle,198,t,t
seattle,302,f,t
seattle,304,f,t
seattle,579,f,t
seattle,902,t,f
seattle,948,f,t
seattle,953,f,t
seattle,974,t,t
seattle,1016,f,t
seattle,1020,f,t
seattle,1021,t,t
seattle,1022,f,t
seattle,1023,f,t
seattle,1032,f,t
seattle,1034,t,t
seattle,1128,t,f
seattle,1160,f,t
seattle,1166,f,t
seattle,1168,t,t
seattle,1169,t,t
seattle,1185,f,t
seattle,1267,f,t
seattle,1269,t,t
seattle,1320,t,t
seattle,1322,t,t
seattle,1324,f,t
seattle,1396,f,t
seattle,1398,t,f
seattle,1402,t,t
seattle,1403,f,t
seattle,1431,f,t
seattle,1441,f,t
seattle,1445,t,f
seattle,1479,t,f
seattle,1495,t,f
seattle,1525,t,t
seattle,1529,f,t
seattle,1536,f,t
seattle,1539,f,t
seattle,1541,f,t
seattle,1544,t,f
seattle,1546,f,t
seattle,1548,f,t
seattle,1549,f,t
seattle,1550,f,t
seattle,1635,f,t
seattle,1636,f,t
seattle,1651,f,t
seattle,1669,f,t
seattle,1671,f,t
seattle,1676,t,f
seattle,1677,f,t
seattle,1833,t,f
seattle,1915,t,f
seattle,1918,t,f
seattle,1927,t,t
seattle,1928,f,t
seattle,1930,f,t
seattle,1934,t,t
seattle,1935,f,t
seattle,1937,f,t
seattle,1938,t,t
seattle,1940,f,t
seattle,1943,f,t
seattle,1945,f,t
seattle,1946,f,t
seattle,1951,f,t
seattle,1952,t,t
seattle,1961,f,t
seattle,1962,f,t
seattle,1966,f,t
seattle,1967,f,t
seattle,1976,f,t
seattle,1978,f,t
seattle,1979,f,t
seattle,1980,t,t
seattle,1981,f,t
seattle,1998,f,t
seattle,2012,f,t
seattle,2014,f,t
seattle,2016,f,t
seattle,2024,f,t
seattle,2096,f,t
seattle,2097,t,f
seattle,2099,f,t
seattle,2203,t,f
seattle,2204,f,t
seattle,2205,f,t
seattle,2209,t,t
seattle,2235,f,t
seattle,2370,f,t
seattle,2371,f,t
seattle,2373,f,t
seattle,2377,f,t
seattle,2384,f,t
seattle,2385,f,t
seattle,2391,f,t
seattle,2430,t,t
seattle,2486,t,t
seattle,2491,t,f
seattle,2590,t,t
seattle,2591,f,t
seattle,2595,f,t
seattle,2598,f,t
seattle,2599,f,t
seattle,2604,t,t
seattle,2623,f,t
seattle,2649,t,f
seattle,2655,f,t
seattle,2659,f,t
seattle,2667,f,t
seattle,2682,f,t
seattle,2691,f,t
seattle,2696,f,t
seattle,2740,f,t
seattle,2744,t,f
seattle,2756,t,f
seattle,2781,t,f
seattle,2800,f,t
seattle,2804,f,t
seattle,2813,t,f
seattle,2814,t,t
seattle,2815,f,t
seattle,2818,f,t
seattle,2823,t,f
seattle,2824,t,f
seattle,2826,f,t
seattle,2829,f,t
seattle,2833,t,f
seattle,2834,f,t
seattle,2862,f,t
seattle,2863,t,t
seattle,2865,f,t
seattle,2981,t,t
seattle,3000,f,t
seattle,3008,f,t
seattle,3015,t,f
seattle,3018,f,t
seattle,3074,f,t
seattle,3105,f,t
seattle,3106,t,f
seattle,3109,f,t
seattle,3118,f,t
seattle,3123,t,f
seattle,3129,t,f
seattle,3131,t,t
seattle,3136,t,f
seattle,3150,f,t
seattle,3153,t,f
seattle,3179,f,t
seattle,3181,t,f
seattle,3210,t,f
seattle,3221,f,t
seattle,3246,f,t
seattle,3249,f,t
seattle,3260,f,t
seattle,3280,t,f
seattle,3324,t,f
seattle,3353,t,t
seattle,3396,t,f
seattle,3399,f,t
seattle,3401,f,t
seattle,3423,t,f
seattle,3432,t,t
seattle,3461,t,f
seattle,3475,f,t
seattle,3490,f,t
seattle,3492,t,f
seattle,3512,t,t
seattle,3519,t,f
seattle,3521,f,t
seattle,3527,f,t
seattle,3536,t,t
seattle,3538,t,t
seattle,3541,t,t
seattle,3542,f,t
seattle,3546,f,t
seattle,3590,t,t
seattle,3596,t,t
seattle,3624,t,f
seattle,3626,f,t
seattle,3628,f,t
seattle,3642,f,t
seattle,3643,t,t
seattle,3655,f,t
seattle,3662,t,t
seattle,3733,t,f
seattle,3738,f,t
seattle,3763,t,f
seattle,3766,t,f
seattle,3789,t,f
seattle,3861,f,t
seattle,3870,f,t
seattle,3875,t,t
seattle,3876,f,t
seattle,3886,t,f
seattle,3900,t,f
seattle,3902,f,t
seattle,3922,f,t
seattle,3929,f,t
seattle,3930,f,t
seattle,3943,f,t
seattle,3949,t,t
seattle,3954,f,t
seattle,3955,f,t
seattle,3961,t,f
seattle,3963,f,t
seattle,3964,t,t
seattle,3973,f,t
seattle,3974,f,t
seattle,3981,f,t
seattle,4010,t,t
seattle,4017,f,t
seattle,4073,f,t
seattle,4074,f,t
seattle,4092,f,t
seattle,4111,t,t
seattle,4113,f,t
seattle,4116,f,t
seattle,4127,f,t
seattle,4128,f,t
seattle,4156,f,t
seattle,4163,f,t
seattle,4180,f,t
seattle,4183,t,f
seattle,4205,f,t
seattle,4206,t,t
seattle,4207,t,t
seattle,4218,f,t
seattle,4225,f,t
seattle,4227,f,t
seattle,4228,f,t
seattle,4230,f,t
seattle,4258,f,t
seattle,4263,f,t
seattle,4264,t,t
seattle,4290,t,f
seattle,4304,t,t
seattle,4305,t,t
seattle,4306,f,t
seattle,4307,f,t
seattle,4308,f,t
seattle,4309,f,t
seattle,4311,t,t
seattle,4312,f,t
seattle,4314,f,t
seattle,4319,t,f
